datatrans	rreq	rrep	codata	coack	sdata	sack	conn
101	2626	41892	11	15	47	2	7
35	2989	44830	11	18	16	1	7
56	2535	43322	11	17	30	2	7
31	2947	44602	11	14	12	4	8
247	2861	42345	11	17	203	2	8
28	2970	50279	11	18	9	1	8
39	3024	47612	11	13	9	7	8
38	3147	38408	11	15	16	4	8
30	3081	45137	11	16	9	2	8
208	2596	40965	11	18	140	5	8
33	2849	43296	11	19	9	0	8
53	2948	48439	11	21	12	1	8
76	2818	34274	11	16	21	2	8
84	3021	42113	11	19	37	1	9
45	3168	48625	11	17	9	2	9
55	3089	44159	11	18	32	3	9
92	3032	45680	11	18	34	14	9
35	2857	41743	11	17	13	3	9
25	2744	48994	11	17	10	2	9
133	2973	41699	11	17	46	5	9
89	3234	44680	11	18	29	3	9
21196	3071	40013	11	14	63	4	9
198	3354	35009	11	15	90	1	9
134	3109	55510	11	21	51	3	10
38	3044	47824	11	19	19	3	
1650	3167	37930	11	20	1593	2	
35	2992	50218	11	19	11	2	
27	3062	45491	11	15	10	5	
126	3167	38198	11	18	42	4	
84	2529	43305	11	24	29	0	
61	2982	47478	11	21	33	3	
562	3176	47254	11	16	494	4	
85	2930	48180	11	19	37	1	10
27	2768	41784	11	17	13	2	11
135	3208	48151	11	20	69	3	
45	3166	45579	11	17	28	6	
202	3273	51556	11	18	52	5	
51	2667	42754	11	20	14	4	
58	3370	50471	11	17	22	4	
43	3374	52752	11	17	12	5	
60	3395	52712	11	20	27	3	
41	2820	43837	11	22	15	3	
82	3733	45912	11	22	24	5	11
170	3216	55726	11	19	114	2	12
83	3322	53503	11	23	29	3	
184	2945	42458	11	22	51	1	
151	3235	49659	11	21	67	4	
69	3217	47717	11	18	26	5	
121	3433	46397	11	19	53	5	
114	2979	55920	11	22	30	3	
42	3122	51015	11	22	16	2	
82	3776	50077	11	18	34	5	
187	2895	50950	11	21	56	5	12
49	2987	50853	11	25	21	5	13
43	3007	43790	11	24	16	1	
29	2766	49088	11	21	15	1	
71	3062	50588	11	23	30	2	
44	2788	53518	11	22	21	1	
42	3025	61843	11	24	21	1	
69	2615	49258	11	25	54	2	
522	2911	42976	11	28	469	0	
84	3291	58080	11	21	37	5	
45	3274	43033	11	20	13	3	13
71	3244	59109	11	26	31	1	14
52	3364	67326	11	20	17	7	
39	3229	53512	11	24	18	3	
170	3905	51468	11	14	109	9	
394	3479	50211	11	14	240	7	
74	2962	46424	11	21	47	3	
70	2828	51800	11	24	31	2	
146	3104	53549	11	24	61	4	
31	3187	52313	11	19	16	5	
34	2976	56799	11	20	18	4	14
32	2729	52624	11	25	17	2	15
70	3074	51478	11	25	39	1	
16959	3361	50169	11	19	195	6	
39	2890	54574	11	22	25	3	
90	2807	51048	11	22	48	2	
41	3068	52027	11	19	25	6	
267	3212	54938	11	24	67	10	
68	3121	54517	11	23	28	5	
166	2931	59830	11	28	49	1	
76	3488	58596	11	22	38	6	15
28	3083	57317	11	21	20	7	16
33	3005	57463	11	21	24	6	
27	3206	65930	11	26	17	0	
61	3377	60576	11	26	33	4	
32	3358	55244	11	19	18	6	
391	2938	55025	11	22	145	4	
349	3218	50246	11	21	247	6	
65	3327	55676	11	30	25	2	
118	3060	54479	11	26	51	9	
48	3268	55891	11	19	29	7	16
99	3344	67481	11	26	44	1	17
129	3090	44402	11	27	49	5	
184	3664	55891	11	24	87	3	
53	3255	63460	11	23	28	4	
135	3594	55838	11	25	58	4	
95	3467	59777	11	26	40	3	
517	3780	62282	11	21	175	3	
71	3971	51054	11	24	31	6	
37	3224	48369	11	21	17	5	
106	3561	62632	11	28	51	4	17
103	3247	60564	11	27	39	3	18
39	4026	69534	11	23	20	6	
75	3307	65170	11	27	24	4	
51	3360	63089	11	26	23	4	
63	3728	53791	11	27	30	4	
37	3108	58155	11	28	30	1	
127	3431	59607	11	31	58	6	
94	3579	65764	11	42	25	3	
139	3378	66012	11	25	81	3	
41	3302	49979	11	23	28	5	18
57	3267	68266	11	27	21	3	19
19157	3148	63018	11	28	220	0	
6232	3398	52300	11	20	112	9	
155	3288	66259	11	31	68	8	
43	3662	63845	11	24	23	6	
87	3403	57153	11	30	39	2	
30	3302	61289	11	26	22	4	
31	3441	58781	11	23	20	7	
103	3512	55094	11	28	64	4	
103	3358	51263	11	25	44	4	19
222	3846	64011	11	23	81	9	20
117	3614	83131	11	28	44	7	
78	3054	58880	11	33	47	2	
130	3359	59248	11	27	68	4	
183	3450	53086	11	30	63	6	
57	2889	60320	11	25	33	6	
46	3497	64101	11	26	55	3	
123	3619	59085	11	30	62	0	
81	3619	69760	11	27	52	4	
169	3493	65011	11	27	77	11	20
17		2009		393		255		8						
25		2803		508		64		9		4		3		
